method,method_label,niche,zone,probability_threshold,sampling,n_test,presence,absence,n_variables,variables,TP,TN,FP,FN,accuracy,balanced_accuracy,recall,specificity,precision,f1,tss,auc
mf_var,Plain MF RF,climate,1,0.5,all presence + equal modeled-zone absence,8992,4496,4496,21,"Eref,CMD,DD_18_sm,DD5_sm,DD5,EXT,RH_sp,DD_0_at,PAS_wt,RH_at,CMD_sp,Eref_at,Tmin_sm,NFFD_at,CMD_sm,PPT_wt,MAP,PPT_sp,PPT_sm,PPT_at,Eref_sm",4451,4401,95,45,0.984430604982206,0.984430604982206,0.989991103202847,0.978870106761566,0.979102507699076,0.984516699845167,0.968861209964413,0.998579772569686
mf_var,Plain MF RF,climate,2,0.5,all presence + equal modeled-zone absence,170052,85026,85026,21,"Tmin_sm,MWMT,DD_0_at,MCMT,DD5,Eref_sm,Eref_at,PAS_at,PAS_sp,Eref,DD5_sm,CMD,DD5_sp,EXT,CMD_sp,PPT_at,RH_wt,CMD_sm,PPT_sp,MAP,PPT_sm",82100,80621,4405,2926,0.956889657281302,0.956889657281302,0.96558699691859,0.948192317644015,0.949078087971793,0.957261369664959,0.913779314562604,0.989029070646933
mf_var,Plain MF RF,climate,3,0.5,all presence + equal modeled-zone absence,332444,166222,166222,21,"DD_0_wt,DD_0,CMD,Tmin_at,Eref_at,EXT,DD_18_wt,TD,DD_18_sm,AHM,PPT_wt,Tmin_sm,DD_0_sp,DD18_sm,RH_wt,PPT_at,PPT_sm,DD5_sm,PPT_sp,CMD_sp,MAP",156166,151533,14689,10056,0.925566411185042,0.925566411185042,0.939502592917905,0.911630229452178,0.914026513710456,0.926589473621754,0.851132822370083,0.97373180205267
mf_var,Plain MF RF,climate,4,0.5,all presence + equal modeled-zone absence,55152,27576,27576,21,"DD18_sm,DD_0_at,Tmin_sm,Eref,EXT,DD5,DD5_sm,CMD_at,AHM,Eref_sm,Eref_at,PPT_wt,CMD,RH_wt,PPT_sp,PPT_at,CMD_sp,MAP,TD,CMD_sm,PPT_sm",27155,26024,1552,421,0.964226138671308,0.964226138671308,0.984733101247462,0.943719176095155,0.945936531159647,0.964945010038555,0.928452277342617,0.990105199890017
mf_var,Plain MF RF,climate,5,0.5,all presence + equal modeled-zone absence,115288,57644,57644,21,"Tmax_wt,Eref_at,RH_at,CMD_at,EMT,Eref,DD5_at,DD_0,CMD_sp,TD,AHM,CMD_sm,EXT,RH_wt,CMD,MAP,PPT_sp,DD5_sm,PPT_at,PPT_wt,PPT_sm",54920,52218,5426,2724,0.929307473457775,0.929307473457775,0.952744431337173,0.905870515578378,0.910085175488019,0.930926349690652,0.858614946915551,0.97482882739291
mf_var,Plain MF RF,climate,6,0.5,all presence + equal modeled-zone absence,54422,27211,27211,21,"AHM,CMD,CMD_sp,DD18_sm,Tmin_sm,DD_18,DD18,DD5_sm,PAS,Eref_at,Eref_sm,RH_wt,PPT_sp,PPT_wt,MAP,Eref,CMD_sm,CMD_at,PPT_at,TD,PPT_sm",26800,26164,1047,411,0.973209363860204,0.973209363860204,0.98489581419279,0.961522913527618,0.96240169497612,0.973518834683425,0.946418727720407,0.992953711412861
mf_var,Plain MF RF,climate,7,0.5,all presence + equal modeled-zone absence,133316,66658,66658,21,"Tmin_wt,RH_at,DD_18_wt,CMD_sp,MCMT,PPT_at,DD5_sm,RH_sm,MAP,CMD_sm,PPT_wt,RH_wt,EXT,TD,AHM,CMD,CMD_at,Eref_at,Tmax_wt,Tmin_sm,PPT_sm",62765,60136,6522,3893,0.921877344054727,0.921877344054727,0.941597407662996,0.902157280446458,0.905869787983316,0.923388134907499,0.843754688109454,0.968307435631368
mf_var,Plain MF RF,climate,9,0.5,all presence + equal modeled-zone absence,18334,9167,9167,21,"DD_18_at,AHM,PPT_wt,DD18,DD5,DD18_sm,DD_0_at,DD5_sm,Eref_sm,RH_at,CMD_sm,EXT,Tmin_sm,MCMT,PPT_sm,Eref,MAP,PAS,TD,PPT_at,PPT_sp",9150,9003,164,17,0.990127631722483,0.990127631722483,0.998145521981019,0.982109741463947,0.982392097917114,0.990206157675451,0.980255263444966,0.997824020735253
mf_var,Plain MF RF,climate,10,0.5,all presence + equal modeled-zone absence,88264,44132,44132,21,"Eref,Eref_at,AHM,NFFD,DD5_sp,MWMT,CMD_sp,PPT_sp,Tmin_wt,DD5_sm,Tmax_wt,DD_18_sp,RH_sm,PPT_wt,PPT_at,Tmax_sp,PPT_sm,EMT,MAP,EXT,TD",43358,42181,1951,774,0.969126710776761,0.969126710776761,0.982461705791716,0.955791715761805,0.956940122271513,0.969532988226876,0.938253421553521,0.989832401079188
mf_var,Plain MF RF,climate,11,0.5,all presence + equal modeled-zone absence,87926,43963,43963,21,"DD_0_wt,DD_0_at,Tmax_wt,DD_18_at,PAS,CMD_sp,DD18,Eref,DD5_sm,Tmin_sm,DD5,PPT_sp,TD,AHM,CMD,PPT_sm,CMD_at,PPT_at,MAP,CMD_sm,RH_wt",42873,41676,2287,1090,0.961592702954757,0.961592702954757,0.975206423583468,0.947978982326047,0.949357838795394,0.962108546615352,0.923185405909515,0.989433966922106
