method,scenario,status,message,n_input_zones,n_missing_zones,missing_zones,top_k_rank,rank_min_suitability,dual_threshold,ranked_zone_file,ranked_suitability_file,ranked_summary_file
mf_var,2011-2040SSP245,created,,53,0,"",10,0,0.4,H:/Jing/ecoChina2/dual suit ranking var/mf_var/2011-2040SSP245/ranked_zone.tif,H:/Jing/ecoChina2/dual suit ranking var/mf_var/2011-2040SSP245/ranked_suitability.tif,H:/Jing/ecoChina2/dual suit ranking var/mf_var/2011-2040SSP245/ranked_summary.tif
mf_var,2011-2040SSP585,created,,53,0,"",10,0,0.4,H:/Jing/ecoChina2/dual suit ranking var/mf_var/2011-2040SSP585/ranked_zone.tif,H:/Jing/ecoChina2/dual suit ranking var/mf_var/2011-2040SSP585/ranked_suitability.tif,H:/Jing/ecoChina2/dual suit ranking var/mf_var/2011-2040SSP585/ranked_summary.tif
mf_var,2041-2070SSP245,created,,53,0,"",10,0,0.4,H:/Jing/ecoChina2/dual suit ranking var/mf_var/2041-2070SSP245/ranked_zone.tif,H:/Jing/ecoChina2/dual suit ranking var/mf_var/2041-2070SSP245/ranked_suitability.tif,H:/Jing/ecoChina2/dual suit ranking var/mf_var/2041-2070SSP245/ranked_summary.tif
mf_var,2041-2070SSP585,created,,53,0,"",10,0,0.4,H:/Jing/ecoChina2/dual suit ranking var/mf_var/2041-2070SSP585/ranked_zone.tif,H:/Jing/ecoChina2/dual suit ranking var/mf_var/2041-2070SSP585/ranked_suitability.tif,H:/Jing/ecoChina2/dual suit ranking var/mf_var/2041-2070SSP585/ranked_summary.tif
mf_var,2071-2100SSP245,created,,53,0,"",10,0,0.4,H:/Jing/ecoChina2/dual suit ranking var/mf_var/2071-2100SSP245/ranked_zone.tif,H:/Jing/ecoChina2/dual suit ranking var/mf_var/2071-2100SSP245/ranked_suitability.tif,H:/Jing/ecoChina2/dual suit ranking var/mf_var/2071-2100SSP245/ranked_summary.tif
mf_var,2071-2100SSP585,created,,53,0,"",10,0,0.4,H:/Jing/ecoChina2/dual suit ranking var/mf_var/2071-2100SSP585/ranked_zone.tif,H:/Jing/ecoChina2/dual suit ranking var/mf_var/2071-2100SSP585/ranked_suitability.tif,H:/Jing/ecoChina2/dual suit ranking var/mf_var/2071-2100SSP585/ranked_summary.tif
mf_var,normal,created,,53,0,"",10,0,0.4,H:/Jing/ecoChina2/dual suit ranking var/mf_var/normal/ranked_zone.tif,H:/Jing/ecoChina2/dual suit ranking var/mf_var/normal/ranked_suitability.tif,H:/Jing/ecoChina2/dual suit ranking var/mf_var/normal/ranked_summary.tif
rf_var,2011-2040SSP245,created,,53,0,"",10,0,0.4,H:/Jing/ecoChina2/dual suit ranking var/rf_var/2011-2040SSP245/ranked_zone.tif,H:/Jing/ecoChina2/dual suit ranking var/rf_var/2011-2040SSP245/ranked_suitability.tif,H:/Jing/ecoChina2/dual suit ranking var/rf_var/2011-2040SSP245/ranked_summary.tif
rf_var,2011-2040SSP585,created,,53,0,"",10,0,0.4,H:/Jing/ecoChina2/dual suit ranking var/rf_var/2011-2040SSP585/ranked_zone.tif,H:/Jing/ecoChina2/dual suit ranking var/rf_var/2011-2040SSP585/ranked_suitability.tif,H:/Jing/ecoChina2/dual suit ranking var/rf_var/2011-2040SSP585/ranked_summary.tif
rf_var,2041-2070SSP245,created,,53,0,"",10,0,0.4,H:/Jing/ecoChina2/dual suit ranking var/rf_var/2041-2070SSP245/ranked_zone.tif,H:/Jing/ecoChina2/dual suit ranking var/rf_var/2041-2070SSP245/ranked_suitability.tif,H:/Jing/ecoChina2/dual suit ranking var/rf_var/2041-2070SSP245/ranked_summary.tif
rf_var,2041-2070SSP585,created,,53,0,"",10,0,0.4,H:/Jing/ecoChina2/dual suit ranking var/rf_var/2041-2070SSP585/ranked_zone.tif,H:/Jing/ecoChina2/dual suit ranking var/rf_var/2041-2070SSP585/ranked_suitability.tif,H:/Jing/ecoChina2/dual suit ranking var/rf_var/2041-2070SSP585/ranked_summary.tif
rf_var,2071-2100SSP245,created,,53,0,"",10,0,0.4,H:/Jing/ecoChina2/dual suit ranking var/rf_var/2071-2100SSP245/ranked_zone.tif,H:/Jing/ecoChina2/dual suit ranking var/rf_var/2071-2100SSP245/ranked_suitability.tif,H:/Jing/ecoChina2/dual suit ranking var/rf_var/2071-2100SSP245/ranked_summary.tif
rf_var,2071-2100SSP585,created,,53,0,"",10,0,0.4,H:/Jing/ecoChina2/dual suit ranking var/rf_var/2071-2100SSP585/ranked_zone.tif,H:/Jing/ecoChina2/dual suit ranking var/rf_var/2071-2100SSP585/ranked_suitability.tif,H:/Jing/ecoChina2/dual suit ranking var/rf_var/2071-2100SSP585/ranked_summary.tif
rf_var,normal,created,,53,0,"",10,0,0.4,H:/Jing/ecoChina2/dual suit ranking var/rf_var/normal/ranked_zone.tif,H:/Jing/ecoChina2/dual suit ranking var/rf_var/normal/ranked_suitability.tif,H:/Jing/ecoChina2/dual suit ranking var/rf_var/normal/ranked_summary.tif
